University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Escuela Agricola Panamericana Zamorano,Salamá,Honduras,Payment Adjustment Coordinator,Team-oriented intermediate groupware,2017-04-03,2017-11-03,4823.07,HNL
Universidade Estadual Paulista,Florianópolis,Brazil,Senior Sales Associate,Optional zero administration collaboration,2019-01-05,2019-08-05,7482.08,BRL
Hebei University of Technology,Xiawuqi,China,Project Manager,Cross-group bottom-line database,2019-09-05,2020-01-11,9280.02,CNY
University of Louisville,Reno,United States,Human Resources Manager,Right-sized dedicated internet solution,2016-11-25,2016-11-30,6954.34,USD
Université de Ziguinchor,Waoundé,Senegal,Accounting Assistant II,Multi-lateral responsive knowledge user,2018-02-20,2018-05-11,9498.02,XOF
University of Southern Mindanao,Sagay,Philippines,Environmental Tech,Configurable 24 hour time-frame,2017-10-23,2018-01-03,1105.74,PHP
University of Botswana,Mogapi,Botswana,Geologist III,Polarised fresh-thinking conglomeration,2017-01-10,2017-02-07,808.83,BWP
University College Cork,Farranacoush,Ireland,Product Engineer,Open-architected explicit infrastructure,2018-04-17,2018-07-31,8265.83,EUR
Universidad Particular de Chiclayo,Ledoy,Peru,Food Chemist,Re-engineered non-volatile groupware,2018-11-20,2019-05-13,5123.72,PEN
Universitas Brawijaya,Abang,Indonesia,VP Marketing,Front-line upward-trending help-desk,2019-09-01,2019-09-18,9143.8,IDR
Shandong University,Huqiu,China,Senior Developer,Public-key foreground hub,2017-10-28,2017-12-08,4122.35,CNY
Capital University of Economics and Business,Yuqian,China,Food Chemist,Intuitive eco-centric middleware,2016-04-17,2016-09-17,9779.75,CNY
South University of Science and Technology of China ,Kuanghe,China,Administrative Assistant I,Grass-roots maximized project,2017-07-07,2017-09-01,9279.39,CNY
International University of Travnik,Visoko,Bosnia and Herzegovina,Financial Analyst,Innovative homogeneous projection,2017-01-01,2017-04-27,3298.61,BAM
"Islamic Azad University, Aliabad ",Shahrīār,Iran,VP Marketing,Universal holistic architecture,2018-04-24,2018-10-21,9500.59,IRR
Universitas Islam Malang,Bagansiapiapi,Indonesia,Recruiting Manager,Face to face mobile application,2018-12-15,2019-03-07,3974.91,IDR
Beijing University of Posts and Telecommunications,Yulin,China,Technical Writer,Progressive multi-tasking process improvement,2016-03-13,2016-09-20,6350.42,CNY
Changsha University of Electric Power,Heka,China,Web Designer IV,Object-based object-oriented migration,2019-10-12,2020-02-28,7062.41,CNY
Nizhny Novgorod State Academy of Medicine,Rostov,Russia,Environmental Tech,User-centric optimal task-force,2019-04-23,2019-11-13,2075.76,RUB
Pedagogical University of Slupsk,Raszków,Poland,Actuary,Synchronised dedicated capacity,2016-08-31,2017-02-18,5516.75,PLN
